"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2024","AQS","020200018","1","1.2","ppm","14","GARDEN/TRINITY CHRISTIAN CHURCH","19","79.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/02/2024","AQS","020200018","1","1.1","ppm","13","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/03/2024","AQS","020200018","1","0.6","ppm","7","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/04/2024","AQS","020200018","1","0.5","ppm","6","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/05/2024","AQS","020200018","1","1.7","ppm","19","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/06/2024","AQS","020200018","1","1.6","ppm","18","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/07/2024","AQS","020200018","1","0.6","ppm","7","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/08/2024","AQS","020200018","1","3.1","ppm","35","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/09/2024","AQS","020200018","1","2.7","ppm","31","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/10/2024","AQS","020200018","1","0.3","ppm","3","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"01/11/2024","AQS","020200018","1","0.8","ppm","9","GARDEN/TRINITY CHRISTIAN CHURCH","16","67.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"02/07/2024","AQS","020200018","1","0.9","ppm","10","GARDEN/TRINITY CHRISTIAN CHURCH","1","4.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"02/08/2024","AQS","020200018","1","0.9","ppm","10","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"02/09/2024","AQS","020200018","1","0.7","ppm","8","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"02/10/2024","AQS","020200018","1","0.4","ppm","5","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
"02/11/2024","AQS","020200018","1","1","ppm","11","GARDEN/TRINITY CHRISTIAN CHURCH","24","100.0000","42101","Carbon monoxide","554","11260","Anchorage, AK","02","Alaska","020","Anchorage","61.2058610007956","-149.824602"
